1.6451,-0.9809,0.4638,1.235,-1.6084
1,0,0,0,0
0.5366,0.564,-0.176,0.0589,0.0461
0.3438,0.5289,0.2006,0.0367,0.0003
0,1,0,0,0
0.0431,0.5941,0.5499,-0.1254,-0.1379
-0.0176,0.4643,0.665,0.1723,-0.3278
-0.0145,0.2845,0.8362,-0.0341,-0.0655
0.0012,0.0846,1.0269,-0.1105,-0.0052
0,0,1,0,0
0.0218,-0.0861,0.8282,0.3051,-0.0439
-0.0083,-0.0109,0.414,0.6789,-0.0007
0.0203,-0.0651,0.2212,0.9254,-0.0562
0,0,0,1,0
-0.0092,0.0299,-0.0596,0.5319,0.5119
0,0,0,0,1
0.0304,-0.0676,0.0438,-0.3632,1.3508
0.0051,-0.0097,-0.0143,-0.1324,0.9737
-0.0187,0.0326,-0.1143,0.0849,0.7885
-0.0366,0.0696,-0.1511,0.206,0.6006
-0.0326,0.0624,-0.1628,0.1901,0.5946
-0.0926,0.2187,-0.3501,0.4137,0.3814
-0.2064,0.5258,-0.781,0.6058,0.466
-0.1904,0.4832,-0.6237,0.4509,0.3611
-0.2057,0.548,-0.749,0.5009,0.3621
-0.2434,0.6824,-0.9677,0.4769,0.5066
-0.039,0.1072,-0.4332,0.5823,0.484
-0.6708,1.759,-2.06,0.8171,0.7173
-0.5688,1.4889,-1.8248,1.4044,-0.1358
-0.1554,0.4799,-0.9513,0.5347,0.6663
-0.0213,0.102,-0.3731,0.2195,0.4362
